pageid,title
8983483,Nana Akufo-Addo
20568148,Mahamudu Bawumia
37854450,Rebecca Akufo-Addo
46278114,Kojo Oppong Nkrumah
46846707,Ken Ofori-Atta
47402174,Ursula Owusu
47472499,Anna Bossman
51518127,Shirley Ayorkor Botchwey
52562616,Alima Mahama
53088123,Ambrose Dery
53088246,Matthew Opoku Prempeh
53132596,Kwaku Agyemang-Manu
54244430,Dominic Nitiwul
54452288,Owusu Afriyie Akoto
54453535,Kwaku Ofori Asiamah
54560745,Salma Frances Mancell-Egala
54779247,Mohammed Adjei Sowah
54861064,Martha Ama Akyaa Pobee
62085682,Elizabeth Adjei
63022014,Mustapha Ussif
66753931,Godfred Yeboah Dame
70060370,Kwabena Okubi-Appiah
