@@,name,position
---,Ussif Mustapha,Minister for Youth and Sports
---,Ursula Owusu,Minister for Communications
---,Shirley Ayorkor Botchway,Minister for Foreign Affairs
---,Owusu Afriyie Akoto,Minister for Food and Agriculture
---,Matthew Opoku Prempeh,Minister for Education
---,Kweku Ofori Asiamah,Minister for Transport and Telecommunications
---,Kwaku Agyemang-Manu,Minister for Health of Ghana
---,Kojo Oppong Nkrumah,Minister for Information
---,Ken Ofori-Atta,Minister for Finance and Economic Planning
---,Godfred Yeboah Dame,Justice minister of Ghana
---,Dominic Nitiwul,Minister for Defence
---,Ambrose Dery,Minister for the Interior
---,Alima Mahama,Minister for Local Government
